name,site,price,nextdate,note,account,currency,continue
Suno,https://suno.com,10,2026-02-10T00:00:00.000+00:00,,goldshoot0720,USD,false
YagHost/Drupal/中國信託,https://www.tpe12thmayor2025to2038.com/,5,2026-02-12T00:00:00.000+00:00,,,USD,true
YagHost/WordPress/台新銀行,https://www.tpe12thmayor2038from2025.com/,5,2026-02-14T00:00:00.000+00:00,,,USD,true
心臟內科,https://www.tcmg.com.tw/index.php/main/schedule_time?id=18,0,2026-02-17T00:00:00.000+00:00,~02/27 天晟 黃信凱,,TWD,false
即梦AI,https://jimeng.jianying.com/ai-tool/home,69,2026-02-17T00:00:00.000+00:00,,抖音0920,CNY,true
Google One 100GB,https://one.google.com/settings?g1_landing_page=0,65,2026-02-24T00:00:00.000+00:00,,goldshoot0720,TWD,false
Qoder,https://qoder.com/,10,2026-02-27T00:00:00.000+00:00,,goldshoot0720,USD,false
Qoder,https://qoder.com/account/usage,10,2026-03-02T00:00:00.000+00:00,,abuhg17,USD,false
Claude Code,https://claude.ai/settings/billing,20,2026-03-03T00:00:00.000+00:00,"觸發每5小時使用限制 尚未觸發每週使用限制",goldshoot0720,USD,false
Suno,https://suno.com/account,10,2026-03-04T00:00:00.000+00:00,,abuhg17,USD,true
Kimi/APP/Moderato,https://play.google.com/store/apps/details?id=com.moonshot.kimichat&hl=zh_TW,610,2026-03-06T00:00:00.000+00:00,Android APP支付,goldshoot0720,TWD,true
心臟內科,https://www.tcmg.com.tw/index.php/main/schedule_time?id=18,530,2026-03-27T00:00:00.000+00:00,天晟 黃信凱 星期五 下午,,TWD,false
Google AI Pro 2 TB,https://gemini.google.com/app,650,2026-03-28T00:00:00.000+00:00,前4個月試用免費 玉山銀行,abuhg17,TWD,true
Google AI Pro 2 TB,https://gemini.google.com/app,650,2026-03-28T00:00:00.000+00:00,前4個月試用免費 尚未台北富邦,feng33feng35feng3,TWD,false
Google AI Pro 2 TB,https://gemini.google.com/app,650,2026-03-28T00:00:00.000+00:00,前4個月試用免費 尚未國泰世華,,TWD,false
身心科,https://www.tcmg.com.tw/index.php/main/schedule_time?id=14,530,2026-04-09T00:00:00.000+00:00,天晟 譚詠康 星期四 早上,,TWD,false
Google AI Pro 2 TB,https://gemini.google.com/app,650,2026-04-12T00:00:00.000+00:00,台新銀行 前4個月試用免費,chbondg2,TWD,true
中華電信 預付卡,https://www.cht.com.tw/home/campaign/prepaidcard/intro,50,2026-05-20T00:00:00.000+00:00,,,TWD,true
范光迪 陳建鴻,https://www.fanktclinic.com/,200,2026-06-23T00:00:00.000+00:00,星期二 上午,,TWD,true
GoDaddy,https://www.tpe12thmayor2025to2038.com/,639,2026-08-22T00:00:00.000+00:00,,,TWD,false
DigitalPress Ghost,https://tpe12thmayor2025to2038.digitalpress.blog/,450,2026-08-26T00:00:00.000+00:00,,,TWD,true
HiNet 域名,https://www.tpe12thmayor2025to2038.idv.tw/,450,2026-08-27T00:00:00.000+00:00,,,TWD,false
Cloudflare Domain,https://www.tpe12thmayor2038from2025.com/,350,2026-09-16T00:00:00.000+00:00,,,TWD,false
Perplexity Pro,https://www.perplexity.ai/,660,2026-11-07T00:00:00.000+00:00,,goldshoot0720,TWD,false
Qoder,https://qoder.com/account/usage,0,,,dailycash539get8000000,TWD,false
Qoder,https://qoder.com/account/usage,0,,,ma9in3,TWD,false
